"","Local Health Area","Year","Total Households"
"0","British Columbia","1986","1157544"
"0","British Columbia","1987","1170873"
"0","British Columbia","1988","1192526"
"0","British Columbia","1989","1219825"
"0","British Columbia","1990","1251759"
"0","British Columbia","1991","1278650"
"0","British Columbia","1992","1317886"
"0","British Columbia","1993","1358208"
"0","British Columbia","1994","1403350"
"0","British Columbia","1995","1444805"
"0","British Columbia","1996","1484947"
"0","British Columbia","1997","1516707"
"0","British Columbia","1998","1535190"
"0","British Columbia","1999","1553525"
"0","British Columbia","2000","1572086"
"0","British Columbia","2001","1592820"
"0","British Columbia","2002","1607961"
"0","British Columbia","2003","1622268"
"0","British Columbia","2004","1639447"
"0","British Columbia","2005","1657123"
"0","British Columbia","2006","1676585"
"0","British Columbia","2007","1701714"
"0","British Columbia","2008","1729761"
"0","British Columbia","2009","1759263"
"0","British Columbia","2010","1785710"
"0","British Columbia","2011","1804530"
"0","British Columbia","2012","1831139"
"0","British Columbia","2013","1856268"
"0","British Columbia","2014","1888396"
"0","British Columbia","2015","1916063"
"0","British Columbia","2016","1949091"
"0","British Columbia","2017","1977832"
"0","British Columbia","2018","2004702"
"0","British Columbia","2019","2030806"
"0","British Columbia","2020","2056647"
"0","British Columbia","2021","2081271"
"0","British Columbia","2022","2105141"
"0","British Columbia","2023","2129749"
"0","British Columbia","2024","2154077"
"0","British Columbia","2025","2178314"
"0","British Columbia","2026","2202430"
"0","British Columbia","2027","2226475"
"0","British Columbia","2028","2250286"
"0","British Columbia","2029","2274220"
"0","British Columbia","2030","2297651"
"0","British Columbia","2031","2320582"
"0","British Columbia","2032","2343659"
"0","British Columbia","2033","2366621"
"0","British Columbia","2034","2388842"
"0","British Columbia","2035","2410685"
"0","British Columbia","2036","2432157"
"0","British Columbia","2037","2453125"
"0","British Columbia","2038","2473601"
"0","British Columbia","2039","2493623"
"0","British Columbia","2040","2513259"
"0","British Columbia","2041","2532531"
"1","Fernie","1986","5933"
"1","Fernie","1987","5789"
"1","Fernie","1988","5585"
"1","Fernie","1989","5658"
"1","Fernie","1990","5704"
"1","Fernie","1991","5721"
"1","Fernie","1992","5656"
"1","Fernie","1993","5597"
"1","Fernie","1994","5615"
"1","Fernie","1995","5769"
"1","Fernie","1996","6000"
"1","Fernie","1997","5877"
"1","Fernie","1998","5765"
"1","Fernie","1999","5796"
"1","Fernie","2000","5900"
"1","Fernie","2001","6061"
"1","Fernie","2002","6175"
"1","Fernie","2003","6161"
"1","Fernie","2004","6097"
"1","Fernie","2005","6045"
"1","Fernie","2006","5998"
"1","Fernie","2007","6003"
"1","Fernie","2008","6104"
"1","Fernie","2009","6167"
"1","Fernie","2010","6188"
"1","Fernie","2011","6297"
"1","Fernie","2012","6256"
"1","Fernie","2013","6297"
"1","Fernie","2014","6362"
"1","Fernie","2015","6272"
"1","Fernie","2016","6335"
"1","Fernie","2017","6426"
"1","Fernie","2018","6503"
"1","Fernie","2019","6590"
"1","Fernie","2020","6672"
"1","Fernie","2021","6745"
"1","Fernie","2022","6817"
"1","Fernie","2023","6880"
"1","Fernie","2024","6943"
"1","Fernie","2025","7013"
"1","Fernie","2026","7080"
"1","Fernie","2027","7131"
"1","Fernie","2028","7158"
"1","Fernie","2029","7185"
"1","Fernie","2030","7210"
"1","Fernie","2031","7232"
"1","Fernie","2032","7251"
"1","Fernie","2033","7270"
"1","Fernie","2034","7289"
"1","Fernie","2035","7308"
"1","Fernie","2036","7331"
"1","Fernie","2037","7352"
"1","Fernie","2038","7373"
"1","Fernie","2039","7392"
"1","Fernie","2040","7410"
"1","Fernie","2041","7428"
"2","Cranbrook","1986","7849"
"2","Cranbrook","1987","7834"
"2","Cranbrook","1988","7864"
"2","Cranbrook","1989","8051"
"2","Cranbrook","1990","8256"
"2","Cranbrook","1991","8285"
"2","Cranbrook","1992","8473"
"2","Cranbrook","1993","8707"
"2","Cranbrook","1994","9078"
"2","Cranbrook","1995","9365"
"2","Cranbrook","1996","9544"
"2","Cranbrook","1997","9648"
"2","Cranbrook","1998","9725"
"2","Cranbrook","1999","9781"
"2","Cranbrook","2000","9752"
"2","Cranbrook","2001","9874"
"2","Cranbrook","2002","10122"
"2","Cranbrook","2003","10114"
"2","Cranbrook","2004","10015"
"2","Cranbrook","2005","10024"
"2","Cranbrook","2006","9902"
"2","Cranbrook","2007","10005"
"2","Cranbrook","2008","10282"
"2","Cranbrook","2009","10484"
"2","Cranbrook","2010","10548"
"2","Cranbrook","2011","10654"
"2","Cranbrook","2012","10666"
"2","Cranbrook","2013","10684"
"2","Cranbrook","2014","10806"
"2","Cranbrook","2015","11018"
"2","Cranbrook","2016","11134"
"2","Cranbrook","2017","11236"
"2","Cranbrook","2018","11331"
"2","Cranbrook","2019","11401"
"2","Cranbrook","2020","11465"
"2","Cranbrook","2021","11512"
"2","Cranbrook","2022","11555"
"2","Cranbrook","2023","11609"
"2","Cranbrook","2024","11647"
"2","Cranbrook","2025","11672"
"2","Cranbrook","2026","11716"
"2","Cranbrook","2027","11758"
"2","Cranbrook","2028","11769"
"2","Cranbrook","2029","11775"
"2","Cranbrook","2030","11787"
"2","Cranbrook","2031","11797"
"2","Cranbrook","2032","11804"
"2","Cranbrook","2033","11818"
"2","Cranbrook","2034","11827"
"2","Cranbrook","2035","11833"
"2","Cranbrook","2036","11840"
"2","Cranbrook","2037","11842"
"2","Cranbrook","2038","11842"
"2","Cranbrook","2039","11838"
"2","Cranbrook","2040","11833"
"2","Cranbrook","2041","11826"
"3","Kimberley","1986","3425"
"3","Kimberley","1987","3308"
"3","Kimberley","1988","3286"
"3","Kimberley","1989","3336"
"3","Kimberley","1990","3416"
"3","Kimberley","1991","3422"
"3","Kimberley","1992","3487"
"3","Kimberley","1993","3579"
"3","Kimberley","1994","3646"
"3","Kimberley","1995","3728"
"3","Kimberley","1996","3762"
"3","Kimberley","1997","3742"
"3","Kimberley","1998","3689"
"3","Kimberley","1999","3679"
"3","Kimberley","2000","3712"
"3","Kimberley","2001","3696"
"3","Kimberley","2002","3669"
"3","Kimberley","2003","3637"
"3","Kimberley","2004","3617"
"3","Kimberley","2005","3612"
"3","Kimberley","2006","3615"
"3","Kimberley","2007","3644"
"3","Kimberley","2008","3713"
"3","Kimberley","2009","3771"
"3","Kimberley","2010","3712"
"3","Kimberley","2011","3711"
"3","Kimberley","2012","3671"
"3","Kimberley","2013","3663"
"3","Kimberley","2014","3789"
"3","Kimberley","2015","3834"
"3","Kimberley","2016","3870"
"3","Kimberley","2017","3885"
"3","Kimberley","2018","3929"
"3","Kimberley","2019","3942"
"3","Kimberley","2020","3961"
"3","Kimberley","2021","3962"
"3","Kimberley","2022","3965"
"3","Kimberley","2023","3976"
"3","Kimberley","2024","4005"
"3","Kimberley","2025","4017"
"3","Kimberley","2026","4024"
"3","Kimberley","2027","4038"
"3","Kimberley","2028","4041"
"3","Kimberley","2029","4040"
"3","Kimberley","2030","4041"
"3","Kimberley","2031","4026"
"3","Kimberley","2032","4017"
"3","Kimberley","2033","4010"
"3","Kimberley","2034","4005"
"3","Kimberley","2035","4006"
"3","Kimberley","2036","4000"
"3","Kimberley","2037","3993"
"3","Kimberley","2038","3985"
"3","Kimberley","2039","3977"
"3","Kimberley","2040","3969"
"3","Kimberley","2041","3960"
"4","Windermere","1986","2502"
"4","Windermere","1987","2525"
"4","Windermere","1988","2619"
"4","Windermere","1989","2659"
"4","Windermere","1990","2695"
"4","Windermere","1991","2686"
"4","Windermere","1992","2768"
"4","Windermere","1993","2946"
"4","Windermere","1994","2913"
"4","Windermere","1995","3113"
"4","Windermere","1996","3287"
"4","Windermere","1997","3365"
"4","Windermere","1998","3300"
"4","Windermere","1999","3333"
"4","Windermere","2000","3389"
"4","Windermere","2001","3552"
"4","Windermere","2002","3396"
"4","Windermere","2003","3446"
"4","Windermere","2004","3657"
"4","Windermere","2005","3717"
"4","Windermere","2006","3773"
"4","Windermere","2007","3832"
"4","Windermere","2008","3938"
"4","Windermere","2009","3980"
"4","Windermere","2010","3883"
"4","Windermere","2011","3798"
"4","Windermere","2012","3823"
"4","Windermere","2013","3865"
"4","Windermere","2014","3939"
"4","Windermere","2015","3998"
"4","Windermere","2016","4060"
"4","Windermere","2017","4093"
"4","Windermere","2018","4132"
"4","Windermere","2019","4145"
"4","Windermere","2020","4169"
"4","Windermere","2021","4182"
"4","Windermere","2022","4197"
"4","Windermere","2023","4210"
"4","Windermere","2024","4223"
"4","Windermere","2025","4243"
"4","Windermere","2026","4260"
"4","Windermere","2027","4279"
"4","Windermere","2028","4289"
"4","Windermere","2029","4301"
"4","Windermere","2030","4312"
"4","Windermere","2031","4322"
"4","Windermere","2032","4332"
"4","Windermere","2033","4341"
"4","Windermere","2034","4343"
"4","Windermere","2035","4343"
"4","Windermere","2036","4345"
"4","Windermere","2037","4348"
"4","Windermere","2038","4348"
"4","Windermere","2039","4346"
"4","Windermere","2040","4344"
"4","Windermere","2041","4341"
"5","Creston","1986","4323"
"5","Creston","1987","4251"
"5","Creston","1988","4243"
"5","Creston","1989","4276"
"5","Creston","1990","4446"
"5","Creston","1991","4438"
"5","Creston","1992","4593"
"5","Creston","1993","4766"
"5","Creston","1994","4965"
"5","Creston","1995","5073"
"5","Creston","1996","5180"
"5","Creston","1997","5262"
"5","Creston","1998","5216"
"5","Creston","1999","5139"
"5","Creston","2000","5155"
"5","Creston","2001","5175"
"5","Creston","2002","5253"
"5","Creston","2003","5322"
"5","Creston","2004","5236"
"5","Creston","2005","5259"
"5","Creston","2006","5269"
"5","Creston","2007","5346"
"5","Creston","2008","5426"
"5","Creston","2009","5432"
"5","Creston","2010","5445"
"5","Creston","2011","5449"
"5","Creston","2012","5418"
"5","Creston","2013","5341"
"5","Creston","2014","5373"
"5","Creston","2015","5277"
"5","Creston","2016","5295"
"5","Creston","2017","5318"
"5","Creston","2018","5356"
"5","Creston","2019","5389"
"5","Creston","2020","5422"
"5","Creston","2021","5453"
"5","Creston","2022","5478"
"5","Creston","2023","5494"
"5","Creston","2024","5508"
"5","Creston","2025","5507"
"5","Creston","2026","5507"
"5","Creston","2027","5506"
"5","Creston","2028","5507"
"5","Creston","2029","5508"
"5","Creston","2030","5506"
"5","Creston","2031","5504"
"5","Creston","2032","5513"
"5","Creston","2033","5520"
"5","Creston","2034","5529"
"5","Creston","2035","5541"
"5","Creston","2036","5554"
"5","Creston","2037","5568"
"5","Creston","2038","5581"
"5","Creston","2039","5594"
"5","Creston","2040","5608"
"5","Creston","2041","5621"
"6","Kootenay Lake","1986","1205"
"6","Kootenay Lake","1987","1181"
"6","Kootenay Lake","1988","1190"
"6","Kootenay Lake","1989","1204"
"6","Kootenay Lake","1990","1219"
"6","Kootenay Lake","1991","1225"
"6","Kootenay Lake","1992","1284"
"6","Kootenay Lake","1993","1352"
"6","Kootenay Lake","1994","1446"
"6","Kootenay Lake","1995","1505"
"6","Kootenay Lake","1996","1567"
"6","Kootenay Lake","1997","1606"
"6","Kootenay Lake","1998","1604"
"6","Kootenay Lake","1999","1598"
"6","Kootenay Lake","2000","1596"
"6","Kootenay Lake","2001","1626"
"6","Kootenay Lake","2002","1740"
"6","Kootenay Lake","2003","1737"
"6","Kootenay Lake","2004","1686"
"6","Kootenay Lake","2005","1681"
"6","Kootenay Lake","2006","1668"
"6","Kootenay Lake","2007","1691"
"6","Kootenay Lake","2008","1654"
"6","Kootenay Lake","2009","1625"
"6","Kootenay Lake","2010","1600"
"6","Kootenay Lake","2011","1566"
"6","Kootenay Lake","2012","1576"
"6","Kootenay Lake","2013","1588"
"6","Kootenay Lake","2014","1620"
"6","Kootenay Lake","2015","1637"
"6","Kootenay Lake","2016","1644"
"6","Kootenay Lake","2017","1649"
"6","Kootenay Lake","2018","1639"
"6","Kootenay Lake","2019","1634"
"6","Kootenay Lake","2020","1622"
"6","Kootenay Lake","2021","1615"
"6","Kootenay Lake","2022","1607"
"6","Kootenay Lake","2023","1596"
"6","Kootenay Lake","2024","1582"
"6","Kootenay Lake","2025","1569"
"6","Kootenay Lake","2026","1556"
"6","Kootenay Lake","2027","1536"
"6","Kootenay Lake","2028","1523"
"6","Kootenay Lake","2029","1508"
"6","Kootenay Lake","2030","1486"
"6","Kootenay Lake","2031","1467"
"6","Kootenay Lake","2032","1447"
"6","Kootenay Lake","2033","1428"
"6","Kootenay Lake","2034","1408"
"6","Kootenay Lake","2035","1388"
"6","Kootenay Lake","2036","1368"
"6","Kootenay Lake","2037","1349"
"6","Kootenay Lake","2038","1329"
"6","Kootenay Lake","2039","1308"
"6","Kootenay Lake","2040","1287"
"6","Kootenay Lake","2041","1266"
"7","Nelson","1986","8295"
"7","Nelson","1987","8216"
"7","Nelson","1988","8166"
"7","Nelson","1989","8276"
"7","Nelson","1990","8407"
"7","Nelson","1991","8554"
"7","Nelson","1992","9019"
"7","Nelson","1993","9178"
"7","Nelson","1994","9483"
"7","Nelson","1995","9772"
"7","Nelson","1996","10042"
"7","Nelson","1997","10096"
"7","Nelson","1998","9974"
"7","Nelson","1999","9974"
"7","Nelson","2000","9959"
"7","Nelson","2001","10135"
"7","Nelson","2002","10447"
"7","Nelson","2003","10569"
"7","Nelson","2004","10414"
"7","Nelson","2005","10428"
"7","Nelson","2006","10519"
"7","Nelson","2007","10665"
"7","Nelson","2008","10932"
"7","Nelson","2009","11055"
"7","Nelson","2010","11103"
"7","Nelson","2011","11265"
"7","Nelson","2012","11240"
"7","Nelson","2013","11344"
"7","Nelson","2014","11601"
"7","Nelson","2015","11851"
"7","Nelson","2016","11946"
"7","Nelson","2017","12020"
"7","Nelson","2018","12075"
"7","Nelson","2019","12133"
"7","Nelson","2020","12175"
"7","Nelson","2021","12232"
"7","Nelson","2022","12255"
"7","Nelson","2023","12294"
"7","Nelson","2024","12320"
"7","Nelson","2025","12361"
"7","Nelson","2026","12389"
"7","Nelson","2027","12421"
"7","Nelson","2028","12445"
"7","Nelson","2029","12476"
"7","Nelson","2030","12498"
"7","Nelson","2031","12512"
"7","Nelson","2032","12537"
"7","Nelson","2033","12560"
"7","Nelson","2034","12582"
"7","Nelson","2035","12595"
"7","Nelson","2036","12609"
"7","Nelson","2037","12618"
"7","Nelson","2038","12625"
"7","Nelson","2039","12629"
"7","Nelson","2040","12629"
"7","Nelson","2041","12627"
"9","Castlegar","1986","4425"
"9","Castlegar","1987","4307"
"9","Castlegar","1988","4319"
"9","Castlegar","1989","4402"
"9","Castlegar","1990","4490"
"9","Castlegar","1991","4641"
"9","Castlegar","1992","4787"
"9","Castlegar","1993","4911"
"9","Castlegar","1994","5106"
"9","Castlegar","1995","5182"
"9","Castlegar","1996","5317"
"9","Castlegar","1997","5334"
"9","Castlegar","1998","5355"
"9","Castlegar","1999","5393"
"9","Castlegar","2000","5432"
"9","Castlegar","2001","5425"
"9","Castlegar","2002","5198"
"9","Castlegar","2003","5180"
"9","Castlegar","2004","5302"
"9","Castlegar","2005","5309"
"9","Castlegar","2006","5332"
"9","Castlegar","2007","5395"
"9","Castlegar","2008","5518"
"9","Castlegar","2009","5650"
"9","Castlegar","2010","5702"
"9","Castlegar","2011","5788"
