trans_period,DevelopmentRegion,RegionalDistrict,,tot_mkt_trans,no_resid_trans,no_resid_acreage_trans,resid_comm_count,no_resid_farm,no_resid_fam,no_res_1fam,no_resid_strata,no_resid_non_strata,no_resid_other,no_comm_tot,no_comm_comm,no_comm_strata_nores,no_comm_other,no_recr_tot,no_farm_tot,no_unkn_tot,sum_FMV,mn_FMV,md_FMV,sum_PPT_paid,md_PPT
2016-06-01,Cariboo,CARIBOO,,64,41,20,,1,,16,4,,,,,,,2,21,,11625343.00,181646.00,150000.00,148887.51,1500.00
2016-06-08,Cariboo,CARIBOO,,45,40,14,2,3,,19,1,,1,2,2,,,1,2,,9047015.00,201044.80,175000.00,119627.05,1750.00
2016-06-15,Cariboo,CARIBOO,,50,45,12,,2,4,24,1,,2,2,2,,,2,,1,14664389.00,293287.80,236500.00,211009.50,2730.00
2016-06-22,Cariboo,CARIBOO,,137,117,35,1,5,2,71,1,,2,4,4,,,3,8,5,33479703.00,244377.40,232500.00,448915.22,2650.00
2016-07-01,Cariboo,CARIBOO,,25,23,9,,2,,11,1,,,,,,,2,,,4000650.00,160026.00,157000.00,49179.00,1570.00
2016-07-08,Cariboo,CARIBOO,,50,47,19,1,,,22,5,,,,,,,3,,,8190413.00,163808.30,119750.00,100881.00,1197.50
2016-07-15,Cariboo,CARIBOO,,61,54,23,1,1,,28,,,1,5,3,,2,2,,,12712136.00,208395.70,198000.00,161625.36,1980.00
2016-07-22,Cariboo,CARIBOO,,94,90,26,1,2,1,58,2,,,1,1,,,1,2,,21000039.00,223404.70,207500.00,274785.39,2150.00
2016-08-01,Cariboo,CARIBOO,,31,25,11,,,,14,,,,,,,,,6,,6055800.00,195348.40,193000.00,74326.00,1930.00
2016-08-08,Cariboo,CARIBOO,,37,36,11,,,,22,2,,1,1,1,,,,,,7085750.00,191506.80,196000.00,89058.50,1960.00
2016-08-15,Cariboo,CARIBOO,,64,58,15,1,,,39,3,,,,,,,2,4,,14115079.00,220548.10,230500.00,188461.27,2610.00
